// Moved from AGtT
data "Description" "h36c2a13cg6ccbg4323gbd20gf4ed64fbbd2a"
data "TargetConditions" "Self() and not Dead()"
data "TooltipStatusApply" "RemoveStatus(CL_STATUS_FIRESHIELD)"
data "SpellProperties" "RemoveStatus(CL_STATUS_FIRESHIELD)"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;,,;3b1ecad1-dd85-4073-8799-e353e2460691,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "VerbalIntent" "Control"
data "SpellFlags" "HasSomaticComponent"

new entry "CL_Shout_FrostBarrier"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "unknown"
data "Level" "2"
data "SpellSchool" "Evocation"
data "DisplayName" "h45049cbbgec84g4f72g8da6g253d56bda198"
data "Description" "h46522b96g30a2g4d4bg8eb5gaf5af3cb8a3f;1"
data "DescriptionParams" "DealDamage(2d8, Cold)"
data "ExtraDescription" "he7e3eb29g7383g4012gb659gf77131d8e0fa"
data "SpellProperties" "ApplyStatus(CL_STATUS_FROSTSHIELD, 100, 9)"
data "TooltipStatusApply" "ApplyStatus(CL_STATUS_FROSTSHIELD, 100, 9)"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:2"
data "TargetRadius" "MainMeleeWeaponRange"
data "TargetConditions" "Self() and not Dead()"
data "CastTextEvent" "Cast"
data "VocalComponentSound" "Vocal_Component_BuffMovement"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184;e9ad50df-e7f1-43a0-b782-4c08f92b0f5a,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "CL_Shout_DismissFrostBarrier"
type "SpellData"
data "SpellType" "Shout"
using "CL_Shout_DismissFireShield"
data "Icon" "unknown"
data "DisplayName" "h641cfb43g7eaeg4a8fg9817ga12cc9269617"
data "Description" "h8dad3361g84a3g4af7g9557ge5e6673a7ed1"
data "TooltipStatusApply" "RemoveStatus(CL_STATUS_FROSTSHIELD)"
data "SpellProperties" "RemoveStatus(CL_STATUS_FROSTSHIELD)"

new entry "CL_Shout_LightningShield"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "unknown"
data "SpellSchool" "Evocation"
data "Level" "2"
data "DisplayName" "h15c00300gd39cg40a9g8182g756f1f4bec65"
data "Description" "hfb5b91f6g4a58g46afgba0ag60b3096f4582;1"
data "DescriptionParams" "DealDamage(6d4, Lightning)"
data "ExtraDescription" "h6f55a97agf56fg4052g9f9dg1d28af4c7767"
data "SpellProperties" "ApplyStatus(CL_STATUS_LIGHTNINGSHIELD, 100, 9)"
data "TooltipStatusApply" "ApplyStatus(CL_STATUS_LIGHTNINGSHIELD, 100, 9)"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:2"
data "TargetRadius" "MainMeleeWeaponRange"
data "TargetConditions" "Self() and not Dead()"
data "CastTextEvent" "Cast"
data "VocalComponentSound" "Vocal_Component_BuffMovement"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184;e9ad50df-e7f1-43a0-b782-4c08f92b0f5a,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "CL_Shout_DismissLightningShield"
type "SpellData"
data "SpellType" "Shout"
using "CL_Shout_DismissFireShield"
data "Icon" "unknown"
data "DisplayName" "h4197a67dg94e0g4298gb3c8gdfd03cfc1199"
data "Description" "h24601bdbg1354g4206g8157g72e45f85275c"
data "TooltipStatusApply" "RemoveStatus(CL_STATUS_FROSTSHIELD)"
data "SpellProperties" "RemoveStatus(CL_STATUS_FROSTSHIELD)"

new entry "CL_Shout_Nightshield"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "Icon" "Spell_Abjuration_MageArmor"
data "SpellSchool" "Abjuration"
data "DisplayName" "hfcfa0bddg0b81g4fd2gaf53g6053c6032631"
data "Description" "hce02e907gb65dg4f69ga64bg1f441e3ed42f"
data "TargetConditions" "Self() and not IsInSunlight()"
data "SpellProperties" "ApplyStatus(CL_STATUS_NIGHTSHIELD,100,9)"
data "TooltipStatusApply" "ApplyStatus(CL_STATUS_NIGHTSHIELD,100,9)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetTouch_R_HandFX_Textkey_01,Detach:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Sound_Spell_Guidance_Impact_01:Cast::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_Target_MageArmor_Textkey_01,Detach::Cast:0:None::None::0:0::::"
data "CastSelfAnimation" "efbf3ee5-7340-4b29-8ab5-113b004a8e7b(SPL_Somatic_Self_Touch_Combat_01_Cast)"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184,5e7e63e1-0e69-46e7-ade7-fe3dadcc9184;e9ad50df-e7f1-43a0-b782-4c08f92b0f5a,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_MageArmor_L1to3"
data "TargetSound" "Spell_Impact_Buff_MageArmor_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "CL_Shout_Spelldrinker"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "Spell_Conjuration_ArmsOfHadar"
data "SpellSchool" "Abjuration"
data "Level" "2"
data "TargetConditions" "Self() and not Dead()"
data "DisplayName" "h81113385g49d5g4d0ag9fd9g6b5e74f3abf4"
data "Description" "h6cc4593dg5c73g449ag9721g526ad738973c"
data "SpellProperties" "ApplyStatus(CL_STATUS_SPELLDRINKER, 100, 5)"
data "TooltipStatusApply" "ApplyStatus(CL_STATUS_SPELLDRINKER, 100, 5)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Buff_Root_01,KeepRot:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_HandFX_01:Dummy_L_HandFX,Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_BodyFX_Textkey_01:Dummy_BodyFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Buff_Bless_Root_Textkey_01,KeepRot:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Buff_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Buff_TargetAoE_CastFX_Textkey_01:Dummy_CastFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetAoE_CastFX_Textkey_02:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Buff_TargetAoE_Impact_Bless_Root_Textkey_01::Cast:0:None::None::0:0::::;VFX_Sound_Spell_TargetEffect_Buff_Bless_01:Dummy_BodyFX:Cast:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Buff_TargetSingle_Impact_PostProcess_Textkey_01::Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetAoE_Impact_Textkey_01::VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Buff_TargetAoE_Impact_Textkey_02::Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Buff_Bless_L1to3"
data "TargetSound" "Spell_Impact_Buff_Bless_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:2"
data "SpellAnimation" "43fdcf16-8cff-42f3-bc5a-4b32519a5b13,,;,,;ab17f201-8251-4690-bfac-b42c8561fc91,,;7e13b95d-d114-4c1b-baa9-d29fd71b8be9,,;e65482d6-3706-46c2-b33e-a87a98b10e11,,;,,;,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsConcentration;IsSpell"

new entry "CL_Shout_Spellstrike"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "GenericIcon_DamageType_Force"
data "Level" "2"
data "SpellSchool" "Enchantment"
data "DisplayName" "hb76ab008g2ab4g4fd2g8b99gb3573e3e7e33"
data "Description" "h532ebc21g0637g406fg8cebg44f4cf8ae9bd;1"
data "DescriptionParams" "DealDamage(1d4, Force)"
data "TooltipStatusApply" "ApplyStatus(CL_STATUS_SPELLSTRIKE,100,9)"
data "SpellProperties" "ApplyStatus(CL_STATUS_SPELLSTRIKE,100,9)"
data "PrepareEffect" "49dd385f-fd25-4372-8628-30b775af7c79"
data "CastEffect" "2550e2bb-c9f9-4440-9cd4-146a03f2e9bc"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1;SpellSlot:1:1:2"
data "TargetConditions" "Self() and not Dead()"
data "CastSound" "Action_Cast_Surge"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;925779e7-8bf6-4d56-8c4d-42c3bc01c60c,,;50398f4e-dd82-4d6a-ad43-aedd578543d9,,;1c343e00-7e6c-4f53-b588-074a3cdb9c7d,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "SpellFlags" "CannotTargetItems;IsSpell;HasSomaticComponent"

// Donated by MailMe from their Death Knight Mod
new entry "CL_Shout_FalseLife_MMNecroblade"
type "SpellData"
data "SpellType" "Shout"
using "Shout_FalseLife_2"
data "DisplayName" "h2b5512c3g5315g4b75gb5c4gcaf1fed13056;1"
data "UseCosts" "ActionPoint:1"

new entry "CL_Shout_Spite"
type "SpellData"
data "SpellType" "Shout"
data "AreaRadius" "3"
data "SpellRoll" "not SavingThrow(Ability.Wisdom,SourceSpellDC())"
data "SpellSuccess" "DealDamage(WisdomModifier,Necrotic,Magical); ApplyStatus(TAUNTED,100,2)"
data "SpellFail" "DealDamage(WisdomModifier,Necrotic,Magical)"
data "TargetConditions" "Enemy() and not Dead()"
data "Icon" "Mailme_DK_Dreadpresence"
data "DisplayName" "h23c4a6degfb87g44b5ga366g06003a47830d;1"
data "Description" "h8e1dde8eg0684g475cga8eeg0cad2f5abc48;1"
data "TooltipDamageList" "DealDamage(LevelMapValue(Level+WisdomMOdifier),Necrotic)"
data "TooltipAttackSave" "Wisdom"
data "TooltipStatusApply" "ApplyStatus(TAUNTED,100,2)"
data "CastSound" "Spell_Cast_Tadpole_Repulsor_L1to3"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1;Spite:1"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;7abe77ed-9c77-4eac-872c-5b8caed070b6,,;cb171bda-f065-4520-b470-e447f678ba1f,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Control"
data "SpellAnimationIntentType" "Aggressive"
data "RequirementConditions" "not HasStatus('SILENCED')"
data "PrepareEffect" "87a4a1c7-8a14-478e-ac4c-b92711494c9b"
data "CastEffect" "7da505c3-dffe-4d0c-8c15-d862d3bc4f76"
data "Sheathing" "DontChange"
